full_date,date_key,day,month,month_name,quarter,year,week
2014-01-03,20140103,3,1,January,1,2014,1
2014-01-04,20140104,4,1,January,1,2014,1
2014-01-05,20140105,5,1,January,1,2014,1
2014-01-06,20140106,6,1,January,1,2014,2
2014-01-07,20140107,7,1,January,1,2014,2
2014-01-08,20140108,8,1,January,1,2014,2
2014-01-09,20140109,9,1,January,1,2014,2
2014-01-10,20140110,10,1,January,1,2014,2
2014-01-11,20140111,11,1,January,1,2014,2
2014-01-12,20140112,12,1,January,1,2014,2
2014-01-13,20140113,13,1,January,1,2014,3
2014-01-14,20140114,14,1,January,1,2014,3
2014-01-15,20140115,15,1,January,1,2014,3
2014-01-16,20140116,16,1,January,1,2014,3
2014-01-17,20140117,17,1,January,1,2014,3
2014-01-18,20140118,18,1,January,1,2014,3
2014-01-19,20140119,19,1,January,1,2014,3
2014-01-20,20140120,20,1,January,1,2014,4
2014-01-21,20140121,21,1,January,1,2014,4
2014-01-22,20140122,22,1,January,1,2014,4
2014-01-23,20140123,23,1,January,1,2014,4
2014-01-24,20140124,24,1,January,1,2014,4
2014-01-25,20140125,25,1,January,1,2014,4
2014-01-26,20140126,26,1,January,1,2014,4
2014-01-27,20140127,27,1,January,1,2014,5
2014-01-28,20140128,28,1,January,1,2014,5
2014-01-29,20140129,29,1,January,1,2014,5
2014-01-30,20140130,30,1,January,1,2014,5
2014-01-31,20140131,31,1,January,1,2014,5
2014-02-01,20140201,1,2,February,1,2014,5
2014-02-02,20140202,2,2,February,1,2014,5
2014-02-03,20140203,3,2,February,1,2014,6
2014-02-04,20140204,4,2,February,1,2014,6
2014-02-05,20140205,5,2,February,1,2014,6
2014-02-06,20140206,6,2,February,1,2014,6
2014-02-07,20140207,7,2,February,1,2014,6
2014-02-08,20140208,8,2,February,1,2014,6
2014-02-09,20140209,9,2,February,1,2014,6
2014-02-10,20140210,10,2,February,1,2014,7
2014-02-11,20140211,11,2,February,1,2014,7
2014-02-12,20140212,12,2,February,1,2014,7
2014-02-13,20140213,13,2,February,1,2014,7
2014-02-14,20140214,14,2,February,1,2014,7
2014-02-15,20140215,15,2,February,1,2014,7
2014-02-16,20140216,16,2,February,1,2014,7
2014-02-17,20140217,17,2,February,1,2014,8
2014-02-18,20140218,18,2,February,1,2014,8
2014-02-19,20140219,19,2,February,1,2014,8
2014-02-20,20140220,20,2,February,1,2014,8
2014-02-21,20140221,21,2,February,1,2014,8
2014-02-22,20140222,22,2,February,1,2014,8
2014-02-23,20140223,23,2,February,1,2014,8
